"Country or Area","Year","Value"
"Australia","2014","98076.1094012298"
"Australia","2013","99857.2046257045"
"Australia","2012","100796.838744057"
"Australia","2011","101085.537856825"
"Australia","2010","99447.7301587771"
"Australia","2009","101886.833298172"
"Australia","2008","103119.546054012"
"Australia","2007","105174.667801721"
"Australia","2006","104842.389866471"
"Australia","2005","105887.562988773"
"Australia","2004","103839.210857312"
"Australia","2003","102574.207809969"
"Australia","2002","108309.143527509"
"Australia","2001","110301.733954324"
"Australia","2000","111520.30955229"
"Australia","1999","107889.224971323"
"Australia","1998","111427.929805769"
"Australia","1997","111898.854748974"
"Australia","1996","109185.337719811"
"Australia","1995","109900.73511074"
"Australia","1994","110997.410185432"
"Australia","1993","113837.511922865"
"Australia","1992","116837.506725638"
"Australia","1991","117744.641813952"
"Australia","1990","118768.837813046"
"Austria","2014","6623.26575609826"
"Austria","2013","6757.49040393774"
"Austria","2012","6855.14146713985"
"Austria","2011","6976.4185527369"
"Austria","2010","7182.81642989029"
"Austria","2009","7294.26454612192"
"Austria","2008","7399.36170474204"
"Austria","2007","7543.05254605889"
"Austria","2006","7667.62887171686"
"Austria","2005","7809.61517623385"
"Austria","2004","8048.71230791888"
"Austria","2003","8061.20581192959"
"Austria","2002","8134.08033600044"
"Austria","2001","8284.30053880387"
"Austria","2000","8466.36607055548"
"Austria","1999","8645.17625546572"
"Austria","1998","8831.33145263719"
"Austria","1997","9011.5170626983"
"Austria","1996","9382.92563351546"
"Austria","1995","9674.04958955657"
"Austria","1994","9775.85779162528"
"Austria","1993","10073.8331987497"
"Austria","1992","10164.7486767199"
"Austria","1991","10462.0961886329"
"Austria","1990","10598.5663608928"
"Belarus","2014","18599.1790231"
"Belarus","2013","18724.358966775"
"Belarus","2012","17461.76738625"
"Belarus","2011","17499.477159075"
"Belarus","2010","17109.267876475"
"Belarus","2009","17118.031159325"
"Belarus","2008","16240.159787875"
"Belarus","2007","15646.7932469"
"Belarus","2006","15450.078575575"
"Belarus","2005","14727.0600536"
"Belarus","2004","14331.37019635"
"Belarus","2003","13734.63191955"
"Belarus","2002","12705.355449575"
"Belarus","2001","12799.02585625"
"Belarus","2000","12922.696280275"
"Belarus","1999","13212.4624856"
"Belarus","1998","13540.2447086"
"Belarus","1997","13578.265278075"
"Belarus","1996","13672.8220222"
"Belarus","1995","13611.075969575"
"Belarus","1994","14331.807082625"
"Belarus","1993","15583.1133978"
"Belarus","1992","16295.4361922"
"Belarus","1991","17258.1344516"
"Belarus","1990","17944.369142475"
"Belgium","2014","8047.55231617697"
"Belgium","2013","8098.24899175734"
"Belgium","2012","8235.73548496177"
"Belgium","2011","8369.07132160191"
"Belgium","2010","8624.50488186377"
"Belgium","2009","8668.57366813667"
"Belgium","2008","8736.79424403213"
"Belgium","2007","8947.75520960759"
"Belgium","2006","8982.9819255679"
"Belgium","2005","9074.7690780932"
"Belgium","2004","9318.58072048247"
"Belgium","2003","9372.46837983159"
"Belgium","2002","9956.50085913143"
"Belgium","2001","10386.2529605796"
"Belgium","2000","10827.0045628699"
"Belgium","1999","11265.277849541"
"Belgium","1998","11524.999684482"
"Belgium","1997","11689.8989430417"
"Belgium","1996","11802.0818337339"
"Belgium","1995","11947.6381787851"
"Belgium","1994","11867.0166000478"
"Belgium","1993","11838.3033737107"
"Belgium","1992","11886.3497152747"
"Belgium","1991","11999.377565637"
"Belgium","1990","12040.1810478487"
"Bulgaria","2014","7420.5096990517"
"Bulgaria","2013","7526.88575101646"
"Bulgaria","2012","7643.91941086577"
"Bulgaria","2011","8015.19767643603"
"Bulgaria","2010","7782.63795680577"
"Bulgaria","2009","7794.83836774708"
"Bulgaria","2008","8164.02518762776"
"Bulgaria","2007","8389.98329896053"
"Bulgaria","2006","8446.72532215926"
"Bulgaria","2005","8720.07593547376"
"Bulgaria","2004","9476.23778253349"
"Bulgaria","2003","10063.7203689356"
"Bulgaria","2002","9374.21254846974"
"Bulgaria","2001","9491.66889604972"
"Bulgaria","2000","10189.3400582433"
"Bulgaria","1999","10347.0350775991"
"Bulgaria","1998","10886.0585680953"
"Bulgaria","1997","11500.6452771229"
"Bulgaria","1996","11936.1665164785"
"Bulgaria","1995","12051.2105618057"
"Bulgaria","1994","12003.0873409571"
"Bulgaria","1993","13764.491318609"
"Bulgaria","1992","14869.2959926006"
"Bulgaria","1991","15313.2688547055"
"Bulgaria","1990","16430.8375650653"
"Canada","2014","108436.716890674"
"Canada","2013","107063.129352267"
"Canada","2012","105633.624841341"
"Canada","2011","103884.67007464"
"Canada","2010","103730.441039052"
"Canada","2009","106149.435212774"
"Canada","2008","110540.258265441"
"Canada","2007","113213.994030922"
"Canada","2006","115516.052739182"
"Canada","2005","116434.331258317"
"Canada","2004","117419.386086716"
"Canada","2003","116809.277477492"
"Canada","2002","117504.637070844"
"Canada","2001","119920.258788481"
"Canada","2000","120724.87183077"
"Canada","1999","120592.533776685"
"Canada","1998","120647.45834463"
"Canada","1997","118988.193047761"
"Canada","1996","116885.460266137"
"Canada","1995","113111.078283263"
"Canada","1994","108917.321071169"
"Canada","1993","105204.361166736"
"Canada","1992","101927.841562881"
"Canada","1991","97516.5116855337"
"Canada","1990","95378.2519424985"
"Croatia","2014","3080.40853019068"
"Croatia","2013","3129.72543393844"
"Croatia","2012","3167.14806901099"
"Croatia","2011","3230.31536846447"
"Croatia","2010","3243.5128716914"
"Croatia","2009","3214.901482772"
"Croatia","2008","3153.40276223641"
"Croatia","2007","3114.80205676473"
"Croatia","2006","3100.59041226758"
"Croatia","2005","3029.46175248614"
"Croatia","2004","3061.84419542201"
"Croatia","2003","2936.87051081454"
"Croatia","2002","2838.3026167308"
"Croatia","2001","2844.14784113738"
"Croatia","2000","2785.33822318065"
"Croatia","1999","2847.59085469199"
"Croatia","1998","2866.64655382612"
"Croatia","1997","2908.31403017727"
"Croatia","1996","2968.51300596132"
"Croatia","1995","2986.63717495509"
"Croatia","1994","3034.34843612463"
"Croatia","1993","3260.04156278717"
"Croatia","1992","3227.33608899515"
"Croatia","1991","3625.91574246337"
"Croatia","1990","3770.71776073763"
"Cyprus","2014","923.95729815"
"Cyprus","2013","918.03627175"
"Cyprus","2012","937.200815325"
"Cyprus","2011","962.211507475"
"Cyprus","2010","943.41757105"
"Cyprus","2009","921.274583825"
"Cyprus","2008","919.096319925"
"Cyprus","2007","915.518720925"
"Cyprus","2006","894.0424515"
"Cyprus","2005","894.24997675"
"Cyprus","2004","914.7121712975"
"Cyprus","2003","917.7058670025"
"Cyprus","2002","921.2514937525"
"Cyprus","2001","887.6023426025"
"Cyprus","2000","847.453418015"
"Cyprus","1999","831.09081945"
"Cyprus","1998","830.2704043625"
"Cyprus","1997","826.651706795"
"Cyprus","1996","819.0833783575"
"Cyprus","1995","797.53350701"
